text,true_label,model_label,confidence,reasoning
圆通快递送货很快，服务也不错，给个五分，给家里买的，家人都很满意,1,error,0.0,无法解析模型输出
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错!,1,error,0.0,无法解析模型输出
我随便翻了下，封面花哨，书里面字体很大，差不多可以用“极大”形容。内容尔尔，估计以后只能当垫桌脚的了。 我一致以为，凡流行的，花哨的，众口一词称赞的事物，需要报以最大的怀疑和谨慎。这次买了太多东西，理性的光芒没有照耀到冲动的感性，我还是给我本来不大的房间添加了累赘或者叫鸡肋吧！这俩本书在当当里评论非常高，非常好。我怀疑有当当的托在这俩本书的页面上假装顾客炒作。当然，我只是怀疑。 这俩本书，如果需要阅读的话，建议去图书馆借阅，买来收藏和慢慢吸收阅读是毫无必要的。这是我个人观感。请诸位自鉴。反正我家垫桌脚的东西，是用20元钱买的。,0,error,0.0,无法解析模型输出
盖子盖不严实，有缝隙，按上去还带响，装内存的时候发现了双面胶，处理的太差了。显卡切换的时候有短暂的黑屏现象！,0,error,0.0,无法解析模型输出
sony本子中最具性价比的了，我加了一条2g的金士顿的DDRII800的条子，兼容没问题，但我拆开加内存时发现机子的原装内存是海力士的,1,error,0.0,无法解析模型输出
我想，如果我们想分辨人间的正义，那么，这本书就能告诉你，用谁的眼光来看世界，这个世界才是正常的，那就是孩子。看这本书的时候，《南京！南京！》正在上演，关于战争的反思，我们才走出第一步；而这里，孩子用她的双眼告诉你战争带给人间的悲剧。极端的民族主义，叫嚣的正义，会给这个世界毁灭性的打击。美丽如文字的东西，都会被利用，用来宣扬极端的思想，用来蒙蔽人类的眼睛。所以，拒绝战争，珍惜和平,1,error,0.0,无法解析模型输出
找到你的位置满足你拥有的东西善待每一个人过一种好的生活不是关于物质，而是关于爱爱，永远是可遇不可求的看着书 会跟着杜威的行为大笑 会随着杜威的离去落泪一只很普通的小猫但是却让人为之动容最难做到的就是生命中些微的点点滴滴并且坚持所以那份爱才如溪流般涓涓融入心田很容易做到的事情最难坚持做到很简单的事情很难一直做下去所以应该静静地品味这本书,1,error,0.0,无法解析模型输出
"如要入住請記住以下幾點 , 我提議最好不要入住 , 通過攜程還有很多選擇. 1.電視機要投訴金苑酒店 1. 我是預定 12 / 26 - 12 / 28 共二晚 金苑酒店.預定要求三個房間在同一樓層.可是有一個房間在A 座 ($450).另外兩個在($330)在B座.我聽到前台的工作",0,error,0.0,无法解析模型输出
1、大品牌，值得信赖。发票保修卡齐全，保修两年， 售后应该有保证。 2、做工不错，屏幕很好，没坏点亮点。 3、体积小，方便携带。 4、自带XP 家庭版系统，内带操作系统恢复盘和驱动光盘。,1,error,0.0,无法解析模型输出
看到了书，首先感觉内容杂乱，一开始好几页互相吹捧的话，然后好几十页废话，接下去一会儿谈谈这个、一会儿谈谈那个，还偏要按个标题，把每段里面的话重写一边，浪费纸张，（如果要着重表示完全可以用黑体加粗印刷），人为增加篇幅，增加页数，提高定价。内容也不实用，感觉上当了。,0,error,0.0,无法解析模型输出
